"id","submitdate","lastpage","startlanguage","seed","refurl","G01Q18","proceed","G01Q01[SQ001]","G01Q01[SQ002]","G01Q01[SQ003]","G01Q02","G01Q03[SQ001]","G01Q03[SQ002]","G01Q03[SQ005]","G01Q03[SQ003]","G01Q03[SQ004]","G01Q03[SQ006]","G01Q04","G01Q05","G01Q06","G02Q07","G01Q08[SQ001]","G01Q08[SQ002]","G01Q08[SQ003]","G01Q08[other]","G02Q09[SQ001]","G02Q09[SQ002]","G02Q09[SQ003]","G02Q09[SQ004]","G02Q09[SQ005]","G02Q09[SQ009]","G02Q09[SQ006]","G02Q09[SQ007]","G02Q09[SQ008]","G02Q09[other]","G02Q10[SQ001]","G02Q10[SQ002]","G02Q10[SQ003]","G02Q10[SQ004]","G02Q10[SQ005]","G02Q10[SQ008]","G02Q10[SQ006]","G02Q10[SQ007]","G03Q11[SQ001]","G03Q11[SQ002]","G03Q11[SQ003]","G03Q11[SQ004]","G03Q11[other]","G03Q12[SQ001]","G03Q12[SQ002]","G03Q12[SQ003]","G03Q12[SQ004]","G03Q13[SQ001]","G03Q13[SQ002]","G03Q13[SQ003]","G05Q16[SQ001]","G05Q16[SQ002]","G05Q16[SQ007]","G05Q16[SQ008]","G05Q16[SQ003]","G05Q16[SQ004]","G05Q16[SQ005]","G05Q16[SQ006]","G04Q14[SQ001]","G04Q14[SQ002]","G04Q14[SQ003]","G04Q14[SQ004]","G04Q14[SQ005]","G04Q14[SQ006]","G01Q15[SQ001]","G01Q15[SQ002]","G01Q15[SQ003]","G01Q15[SQ004]","G01Q15[SQ005]","G01Q15[SQ006]","G01Q15[SQ007]","G01Q15[SQ008]","G01Q15[SQ009]","G01Q15[SQ010]","G05Q22[SQ001]","G05Q22[SQ002]","G05Q22[SQ003]","G05Q22[SQ004]","G05Q22[SQ005]","G05Q22[SQ006]","G05Q22[SQ007]","G05Q22[SQ008]","G05Q22[SQ009]","G05Q22[SQ010]","G06Q17","G06Q17[other]","G07Q20","G01Q21[SQ001]","G01Q21[SQ002]","G01Q21[SQ003]","G01Q21[SQ004]","G01Q21[SQ005]","G01Q21[SQ006]","G01Q21[SQ007]","interviewtime","groupTime1719","G01Q18Time","proceedTime","groupTime1713","G01Q01Time","G01Q02Time","G01Q03Time","G01Q04Time","G01Q05Time","G01Q06Time","groupTime1714","G02Q07Time","G01Q08Time","G02Q09Time","G02Q10Time","groupTime1715","G03Q11Time","G03Q12Time","G03Q13Time","G05Q16Time","groupTime1716","G04Q14Time","G01Q15Time","groupTime1720","G05Q22Time","groupTime1718","G06Q17Time","G07Q20Time","G01Q21Time"
"79","1980-01-01 00:00:00","7","en","1931926565","","","Yes","Yes","No","No","5 to 10 hours","Yes","No","No","Yes","Yes","No","Passive Participant (Reading posts, Attending Events, ...)","Yes","Somewhat, I identify as a gamer in certain contexts.","Often","Yes","Yes","Yes","DMs after games","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","No","","5 (Severe)","5 (Severe)","7 (Extremely Severe)","7 (Extremely Severe)","7 (Extremely Severe)","7 (Extremely Severe)","7 (Extremely Severe)","7 (Extremely Severe)","Yes","No","Yes","No","","Disagree","Neutral","Strongly disagree","Strongly agree","Not at all","Not at all","Slightly","Always","Always","Often","Often","Always","Always","Sometimes","Sometimes","Agree","Agree","Disagree","Disagree","Agree","Neutral","show xyz body part (me)","stop playing and go to the kitchen (me)","i will surrender when you do xyz (me)","do you have a boyfriend/are you single (me)","u have big boobas (or different ""memes"") (me)","","","","","","6 (Very Severe)","7 (Extremely Severe)","7 (Extremely Severe)","5 (Severe)","4 (Moderate)","","","","","","Female","","18 - 25 years old","Yes","No","No","No","No","No","No","541.97","6.31",,,"50.13",,,,,,,"100.47",,,,,"140.88",,,,,"201.47",,,"22.57",,"20.14",,,
"80","1980-01-01 00:00:00","7","en","661023418","","","Yes","Yes","No","No","10 to 20 hours","No","No","No","Yes","Yes","No","Active Participant (Posting, Organizing Events, Moderating Communities, ...)","No","Yes, I strongly identify as a gamer.","Often","Yes","Yes","Yes","","No","No","Yes","Yes","Yes","Yes","No","No","No","","3 (Mild)","3 (Mild)","7 (Extremely Severe)","7 (Extremely Severe)","6 (Very Severe)","5 (Severe)","7 (Extremely Severe)","7 (Extremely Severe)","No","No","No","Yes","","Agree","Neutral","Strongly disagree","Agree","Slightly","Completely","Not at all","Always","Often","Rarely","Rarely","Often","Sometimes","Never","Never","Strongly agree","Agree","Neutral","Strongly disagree","Neutral","Neutral","„Zurück in die Küche mit dir“","„Willst du mir einen blasen?“","","","","","","","","","5 (Severe)","6 (Very Severe)","","","","","","","","","Male","","18 - 25 years old","Yes","No","No","No","No","No","No","500.62","6.19",,,"72.17",,,,,,,"197.8",,,,,"103.94",,,,,"84.25",,,"24.08",,"12.19",,,
"82","1980-01-01 00:00:00","7","en","1629528716","","","Yes","Yes","No","No","10 to 20 hours","No","No","No","Yes","No","No","Passive Participant (Reading posts, Attending Events, ...)","Yes","Somewhat, I identify as a gamer in certain contexts.","Rarely","Yes","Yes","No","","No","No","Yes","Yes","Yes","Yes","No","No","No","","7 (Extremely Severe)","7 (Extremely Severe)","7 (Extremely Severe)","7 (Extremely Severe)","7 (Extremely Severe)","7 (Extremely Severe)","7 (Extremely Severe)","7 (Extremely Severe)","Yes","No","Yes","No","","Neutral","Agree","Disagree","Agree","Completely","Completely","Significantly","Always","Always","Sometimes","Sometimes","Often","Often","Sometimes","Sometimes","Agree","Neutral","Disagree","Disagree","Agree","Agree","Ah my support is a woman, that explains the game performance | Recipent","GGWP gender diff | Recipent","","","","","","","","","5 (Severe)","5 (Severe)","","","","","","","","","Female","","18 - 25 years old","Yes","No","No","No","No","No","No","351.58","4.35",,,"32.55",,,,,,,"55.09",,,,,"67.72",,,,,"158.92",,,"24.92",,"8.03",,,
"83","1980-01-01 00:00:00","7","en","1849328857","","","Yes","Yes","No","No","More than 20 hours","No","No","No","Yes","No","No","Active Participant (Posting, Organizing Events, Moderating Communities, ...)","Yes","Yes, I strongly identify as a gamer.","Rarely","Yes","Yes","No","","No","No","Yes","Yes","Yes","Yes","No","No","No","","2 (Very Mild)","1 (Not Severe at All)","4 (Moderate)","7 (Extremely Severe)","7 (Extremely Severe)","6 (Very Severe)","3 (Mild)","1 (Not Severe at All)","Yes","Yes","Yes","No","","Disagree","Strongly agree","Strongly disagree","Strongly agree","Completely","Slightly","Moderately","Always","Always","Always","Always","Always","Always","Always","Always","Strongly agree","Neutral","Disagree","Strongly disagree","Agree","Disagree","","","","","","","","","","","","","","","","","","","","","Female","","25 - 35 years old","Yes","No","No","No","No","No","No","287.91","13.71",,,"25.77",,,,,,,"78.44",,,,,"77.34",,,,,"76.51",,,"7.13",,"9.01",,,
"86","1980-01-01 00:00:00","7","en","1382812413","","","Yes","Yes","No","Yes","10 to 20 hours","Yes","No","No","Yes","Yes","No","Passive Participant (Reading posts, Attending Events, ...)","No","Yes, I strongly identify as a gamer.","Rarely","Yes","No","No","","Yes","Yes","Yes","No","No","No","No","No","No","","6 (Very Severe)","5 (Severe)","3 (Mild)","3 (Mild)","4 (Moderate)","3 (Mild)","6 (Very Severe)","2 (Very Mild)","Yes","No","Yes","No","","Agree","Strongly disagree","Disagree","Disagree","Significantly","Not at all","Not at all","Always","Always","Sometimes","Sometimes","Often","Often","Rarely","Rarely","Neutral","Disagree","Disagree","Agree","Agree","Disagree","","","","","","","","","","","","","","","","","","","","","Female","","Under 18 years old","Yes","No","No","Yes","No","No","No","269.65","7.78",,,"44.16",,,,,,,"69.62",,,,,"75.38",,,,,"44.51",,,"13",,"15.2",,,
"88","1980-01-01 00:00:00","7","en","1472070455","","","Yes","Yes","No","No","5 to 10 hours","No","No","No","Yes","No","No","Not involved (""just"" playing)","Yes","No, I don't identify as a gamer, even though I play games.","Rarely","Yes","No","No","","No","No","Yes","Yes","No","No","No","No","No","","7 (Extremely Severe)","6 (Very Severe)","5 (Severe)","6 (Very Severe)","3 (Mild)","2 (Very Mild)","7 (Extremely Severe)","3 (Mild)","Yes","No","No","No","","Disagree","Agree","Disagree","Strongly agree","Completely","Not at all","Slightly","Sometimes","Rarely","Always","Often","Always","Often","Always","Often","Strongly agree","Strongly agree","Disagree","Strongly disagree","Strongly agree","Neutral","","","","","","","","","","","","","","","","","","","","","Female","","25 - 35 years old","Yes","No","No","No","No","No","No","310.22","11.57",,,"53.79",,,,,,,"108.45",,,,,"89.6",,,,,"28.01",,,"8.42",,"10.38",,,
"89","1980-01-01 00:00:00","7","en","1935152584","","","Yes","Yes","No","No","10 to 20 hours","No","No","No","Yes","No","No","Passive Participant (Reading posts, Attending Events, ...)","No","Yes, I strongly identify as a gamer.","Often","No","Yes","No","","Yes","Yes","Yes","Yes","Yes","No","No","No","No","","7 (Extremely Severe)","7 (Extremely Severe)","6 (Very Severe)","6 (Very Severe)","5 (Severe)","5 (Severe)","7 (Extremely Severe)","5 (Severe)","No","No","No","Yes","","Strongly agree","Agree","Disagree","Agree","Significantly","Moderately","Slightly","Always","Always","Often","Often","Often","Often","Often","Often","Strongly agree","Agree","Neutral","Disagree","Neutral","Disagree","","","","","","","","","","","","","","","","","","","","","Female","","25 - 35 years old","Yes","No","No","No","No","No","No","406.44","5.64",,,"65.37",,,,,,,"106.92",,,,,"107.11",,,,,"98.69",,,"9.36",,"13.35",,,
"91","1980-01-01 00:00:00","7","en","1616982685","","","Yes","Yes","No","No","More than 20 hours","No","No","No","Yes","No","No","Active Participant (Posting, Organizing Events, Moderating Communities, ...)","No","Yes, I strongly identify as a gamer.","Rarely","Yes","Yes","No","","Yes","Yes","Yes","Yes","No","Yes","No","No","No","","5 (Severe)","5 (Severe)","7 (Extremely Severe)","7 (Extremely Severe)","4 (Moderate)","6 (Very Severe)","7 (Extremely Severe)","3 (Mild)","Yes","No","Yes","No","Had to change my icon cause it had a trans flag and i got inted and targeted in about 6 games in 1 day.","Agree","Agree","Agree","Strongly agree","Significantly","Not at all","Completely","Always","Often","Often","Often","Always","Always","Sometimes","Sometimes","Agree","Agree","Disagree","Disagree","Strongly agree","Agree","""I joined the voice channel and it was full of guys."" (Said by someone i used to know after joining a watch party full of trans girls)","""Hey Shyvana are you part of the alphabet community."" (Said at the start of the game before they continued to ruin my game for 20 min)","""You are delusional and mentally ill"" (Said to me when i had a trans flag as my icon in a game)","","","","","","","","7 (Extremely Severe)","5 (Severe)","6 (Very Severe)","","","","","","","","Female","","18 - 25 years old","Yes","No","No","No","No","No","No","1030.07","6.47",,,"31.95",,,,,,,"91.76",,,,,"108.02",,,,,"758.74",,,"22.33",,"10.8",,,
"93","1980-01-01 00:00:00","7","en","2136564154","","","Yes","Yes","No","No","10 to 20 hours","No","No","No","No","No","Yes","Passive Participant (Reading posts, Attending Events, ...)","No","Yes, I strongly identify as a gamer.","Often","Yes","Yes","Yes","","Yes","No","Yes","Yes","Yes","Yes","No","No","No","","5 (Severe)","6 (Very Severe)","7 (Extremely Severe)","7 (Extremely Severe)","7 (Extremely Severe)","7 (Extremely Severe)","7 (Extremely Severe)","7 (Extremely Severe)","No","No","No","Yes","","Agree","Disagree","Strongly disagree","Agree","Significantly","Slightly","Not at all","Always","Always","Sometimes","Sometimes","Often","Often","Sometimes","Sometimes","Agree","Agree","Strongly disagree","Strongly disagree","Strongly agree","Disagree","Oh great a woman, now we're definitely going to lose - at me","Are you trans? I cant tell if youre a man or woman but if youre trans I hope you die - at me","Get back in the kitchen - at me","","","","","","","","5 (Severe)","7 (Extremely Severe)","4 (Moderate)","","","","","","","","Female","","18 - 25 years old","Yes","No","No","No","No","No","No","558.02","6.54",,,"46.34",,,,,,,"149.16",,,,,"211.41",,,,,"101.72",,,"24.03",,"18.82",,,
"94","1980-01-01 00:00:00","7","en","493626172","","","Yes","Yes","No","Yes","More than 20 hours","No","No","No","Yes","No","No","Not involved (""just"" playing)","Yes","Yes, I strongly identify as a gamer.","Sometimes","Yes","No","Yes","Dms","Yes","No","Yes","No","No","No","No","No","No","Telling me to kms","6 (Very Severe)","6 (Very Severe)","7 (Extremely Severe)","7 (Extremely Severe)","7 (Extremely Severe)","7 (Extremely Severe)","7 (Extremely Severe)","7 (Extremely Severe)","Yes","No","Yes","No","Profilpicture","Neutral","Strongly agree","Disagree","Strongly agree","Completely","Moderately","Significantly","Sometimes","Always","Always","Always","Rarely","Rarely","Always","Always","Strongly agree","Strongly agree","Strongly disagree","Strongly disagree","Strongly agree","Disagree","Kys fucking tranny (me)","What the fuck is wrong with your voice (me)","Go into the kitchen (else)","","","","","","","","7 (Extremely Severe)","7 (Extremely Severe)","7 (Extremely Severe)","","","","","","","","Female","","18 - 25 years old","Yes","No","No","No","No","No","No","445.55","5.75",,,"54.16",,,,,,,"117.18",,,,,"127.79",,,,,"106.06",,,"18.54",,"16.07",,,
"95","1980-01-01 00:00:00","7","en","208747435","","","Yes","Yes","No","No","10 to 20 hours","No","No","No","Yes","No","No","Passive Participant (Reading posts, Attending Events, ...)","No","Yes, I strongly identify as a gamer.","Often","Yes","No","No","","No","No","No","No","No","Yes","No","No","No","","5 (Severe)","6 (Very Severe)","6 (Very Severe)","7 (Extremely Severe)","4 (Moderate)","5 (Severe)","7 (Extremely Severe)","4 (Moderate)","No","No","No","Yes","","Agree","Disagree","Neutral","Agree","Completely","Not at all","Not at all","Always","Always","Sometimes","Rarely","Often","Often","Rarely","Rarely","Neutral","Neutral","Neutral","Neutral","Neutral","Agree","","","","","","","","","","","","","","","","","","","","","Female","","18 - 25 years old","Yes","No","No","No","No","No","No","324.66","5.54",,,"47.92",,,,,,,"83.33",,,,,"92.17",,,,,"67.46",,,"17.01",,"11.23",,,
"97","1980-01-01 00:00:00","7","en","2147299418","","","Yes","Yes","No","No","10 to 20 hours","No","No","No","Yes","No","No","Passive Participant (Reading posts, Attending Events, ...)","Yes","Yes, I strongly identify as a gamer.","Sometimes","No","No","No","Stppoed doing it at all + no vc in league yet","No","No","No","No","No","No","No","No","Yes","","7 (Extremely Severe)","7 (Extremely Severe)","7 (Extremely Severe)","7 (Extremely Severe)","7 (Extremely Severe)","7 (Extremely Severe)","7 (Extremely Severe)","7 (Extremely Severe)","No","No","No","Yes","","Agree","Agree","Neutral","Strongly agree","Significantly","Not at all","Not at all","Always","Always","Sometimes","Often","Always","Always","Never","Always","Agree","Neutral","Neutral","Disagree","Agree","Neutral","You can't be better than me as a girl, you must be transgender","Shut up, whore","Boosted e-girl","","","","","","","","7 (Extremely Severe)","7 (Extremely Severe)","5 (Severe)","","","","","","","","Female","","25 - 35 years old","Yes","No","No","No","No","No","No","411.67","7.22",,,"35.09",,,,,,,"110.31",,,,,"120.36",,,,,"104.66",,,"19.95",,"14.08",,,
"99","1980-01-01 00:00:00","7","en","128798161","","","Yes","Yes","No","No","10 to 20 hours","No","No","No","No","No","Yes","Active Participant (Posting, Organizing Events, Moderating Communities, ...)","Yes","Yes, I strongly identify as a gamer.","Rarely","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","","5 (Severe)","4 (Moderate)","5 (Severe)","6 (Very Severe)","5 (Severe)","5 (Severe)","6 (Very Severe)","5 (Severe)","No","Yes","Yes","No","","Agree","Agree","Strongly disagree","Strongly agree","Completely","Significantly","Slightly","Always","Always","Always","Often","Rarely","Rarely","Always","Often","Agree","Agree","Neutral","Disagree","Neutral","Neutral","""wanna watch anime with me some time?"" - ""only if we win"" - ""fuck you"" (me)","ggs we have a female (me)","""back in the kitchen you go, I have enough egirls. now get off of me"" (me)","""holy shit 2 girls, I'm already rubbing it"" (me and someone else)","""are you a girl or a little boy"" (me)","""you sound like you are fat"" (me)","""fucking slut"" (me)","""any egirls? preferably horny. X can I get your snap?"" - ""they're 15"" - ""even better"" (someone else)","""I just rubbed one out for you"" (someone else)","""I was busy thinking about getting pegged. let's make out rn"" (someone else)","3 (Mild)","3 (Mild)","4 (Moderate)","6 (Very Severe)","6 (Very Severe)","6 (Very Severe)","5 (Severe)","7 (Extremely Severe)","6 (Very Severe)","6 (Very Severe)","Female","","25 - 35 years old","Yes","No","No","No","No","No","No","800.48","6.53",,,"30.96",,,,,,,"85.09",,,,,"59.2",,,,,"575.95",,,"31.13",,"11.62",,,
"101","1980-01-01 00:00:00","7","en","1741217156","","","Yes","Yes","No","No","10 to 20 hours","No","No","No","Yes","No","No","Active Participant (Posting, Organizing Events, Moderating Communities, ...)","No","Yes, I strongly identify as a gamer.","Rarely","Yes","No","No","","No","No","Yes","No","No","No","No","No","No","","5 (Severe)","5 (Severe)","6 (Very Severe)","6 (Very Severe)","6 (Very Severe)","6 (Very Severe)","7 (Extremely Severe)","7 (Extremely Severe)","Yes","No","No","No","","Strongly agree","Agree","Neutral","Agree","Completely","Slightly","Slightly","Always","Often","Often","Often","Never","Often","Never","Often","Strongly agree","Agree","Neutral","Disagree","Neutral","Neutral","""Boosted Egirl"" - me","""You only play because of your boyfriend"" - me","""Wanna make a baby?"" - me","","","","","","","","4 (Moderate)","4 (Moderate)","5 (Severe)","","","","","","","","Female","","18 - 25 years old","Yes","No","No","No","No","No","No","493.44","5.89",,,"37.2",,,,,,,"83.84",,,,,"72.12",,,,,"266.31",,,"18.47",,"9.61",,,
"102","1980-01-01 00:00:00","7","en","294417789","","","Yes","Yes","No","No","10 to 20 hours","No","No","No","No","No","Yes","Passive Participant (Reading posts, Attending Events, ...)","Yes","Somewhat, I identify as a gamer in certain contexts.","Rarely","Yes","Yes","Yes","DMs","Yes","No","Yes","No","Yes","No","No","No","No","","6 (Very Severe)","6 (Very Severe)","7 (Extremely Severe)","7 (Extremely Severe)","6 (Very Severe)","7 (Extremely Severe)","7 (Extremely Severe)","7 (Extremely Severe)","Yes","No","No","No","","Agree","Strongly agree","Strongly disagree","Strongly agree","Completely","Slightly","Slightly","Always","Always","Often","Often","Always","Always","Often","Often","Agree","Agree","Disagree","Strongly disagree","Strongly agree","Neutral","","","","","","","","","","","","","","","","","","","","","Non-binary","","18 - 25 years old","Yes","No","No","No","No","No","No","425.06","8.38",,,"54.77",,,,,,,"85.14",,,,,"103.98",,,,,"149.58",,,"11.82",,"11.39",,,
"103","1980-01-01 00:00:00","7","en","1457827477","","","Yes","Yes","No","No","10 to 20 hours","No","No","No","Yes","No","No","Active Participant (Posting, Organizing Events, Moderating Communities, ...)","No","Yes, I strongly identify as a gamer.","Never","Yes","No","No","","No","No","No","No","No","Yes","No","No","No","","1 (Not Severe at All)","1 (Not Severe at All)","1 (Not Severe at All)","4 (Moderate)","1 (Not Severe at All)","5 (Severe)","1 (Not Severe at All)","1 (Not Severe at All)","No","No","No","Yes","","Strongly agree","Disagree","Neutral","Agree","Not at all","Not at all","Not at all","Always","Always","Never","Never","Always","Always","Never","Never","Strongly agree","Neutral","Neutral","Disagree","Disagree","Strongly disagree","Me: ""Meow"" -> Random: ""Are you a girl?""","","","","","","","","","","3 (Mild)","","","","","","","","","","Male","","18 - 25 years old","Yes","No","No","No","No","No","No","657.73","9.95",,,"81.56",,,,,,,"165.94",,,,,"196.65",,,,,"158.17",,,"27.89",,"17.57",,,
