"id","submitdate","lastpage","startlanguage","seed","G01Q18","proceed","second","G01Q01[SQ001]","G01Q01[SQ002]","G01Q01[SQ003]","G01Q02","G01Q03[SQ001]","G01Q03[SQ002]","G01Q03[SQ005]","G01Q03[SQ003]","G01Q03[SQ004]","G01Q03[SQ006]","G01Q04","G01Q05","G01Q06","G03Q13","G02Q10[SQ001]","G02Q10[SQ002]","G02Q10[SQ003]","G02Q10[SQ004]","G02Q10[SQ005]","G02Q10[SQ008]","G02Q10[SQ006]","G02Q10[SQ007]","G03Q12[SQ001]","G03Q12[SQ005]","G03Q12[SQ002]","G03Q12[SQ003]","G03Q12[SQ004]","G05Q16[SQ001]","G05Q16[SQ002]","G05Q16[SQ007]","G05Q16[SQ008]","G05Q16[SQ003]","G05Q16[SQ004]","G05Q16[SQ005]","G05Q16[SQ006]","G04Q14[SQ001]","G04Q14[SQ002]","G04Q14[SQ003]","G04Q14[SQ004]","G04Q14[SQ005]","G04Q14[SQ007]","G04Q14[SQ006]","G05Q19","G04Q17[SQ001][1]","G04Q17[SQ001][2]","G04Q17[SQ002][1]","G04Q17[SQ002][2]","G04Q17[SQ003][1]","G04Q17[SQ003][2]","G04Q17[SQ004][1]","G04Q17[SQ004][2]","G04Q17[SQ005][1]","G04Q17[SQ005][2]","G04Q17[SQ006][1]","G04Q17[SQ006][2]","G04Q17[SQ007][1]","G04Q17[SQ007][2]","G04Q17[SQ008][1]","G04Q17[SQ008][2]","G04Q17[SQ009][1]","G04Q17[SQ009][2]","G04Q17[SQ010][1]","G04Q17[SQ010][2]","G04Q17[SQ011][1]","G04Q17[SQ011][2]","G04Q17[SQ012][1]","G04Q17[SQ012][2]","G04Q17[SQ013][1]","G04Q17[SQ013][2]","G04Q17[SQ014][1]","G04Q17[SQ014][2]","G06Q17","G06Q17[other]","G07Q20","G01Q21[SQ001]","G01Q21[SQ002]","G01Q21[SQ003]","G01Q21[SQ004]","G01Q21[SQ005]","G01Q21[SQ007]"
"74","1980-01-01 00:00:00","6","en","2026758218","","Yes","No","Yes","No","No","5 to 10 hours","No","No","No","No","No","Yes","Passive Participant (Reading posts, Attending Events, ...)","No","Somewhat, I identify as a gamer in certain contexts.","","6 (Very Severe)","6 (Very Severe)","7 (Extremely Severe)","7 (Extremely Severe)","5 (Severe)","7 (Extremely Severe)","7 (Extremely Severe)","5 (Severe)","Agree","Strongly agree","Neutral","Disagree","Neutral","Often","Often","Rarely","Rarely","Always","Often","Rarely","Rarely","Strongly disagree","Neutral","Agree","Strongly disagree","Agree","Neutral","Disagree","","2 (Very Mild)","Real","6 (Very Severe)","Real","6 (Very Severe)","Not Real","6 (Very Severe)","Real","7 (Extremely Severe)","Real","5 (Severe)","Not Real","6 (Very Severe)","Real","7 (Extremely Severe)","Not Real","7 (Extremely Severe)","Real","7 (Extremely Severe)","Real","7 (Extremely Severe)","Real","7 (Extremely Severe)","Real","3 (Mild)","Real","5 (Severe)","Real","Male","","18 - 25 years old","Yes","No","No","No","No","No"
"75","1980-01-01 00:00:00","6","en","2017323998","","Yes","No","Yes","No","Yes","Less than 5 hours","No","No","No","Yes","No","No","Active Participant (Posting, Organizing Events, Moderating Communities, ...)","No","Somewhat, I identify as a gamer in certain contexts.","","6 (Very Severe)","6 (Very Severe)","5 (Severe)","5 (Severe)","4 (Moderate)","3 (Mild)","7 (Extremely Severe)","4 (Moderate)","Agree","Disagree","Neutral","Neutral","Disagree","Always","Always","Never","Never","Sometimes","Sometimes","Never","Never","Neutral","Agree","Agree","Neutral","Strongly disagree","Neutral","Agree","","3 (Mild)","Real","","Real","4 (Moderate)","Real","6 (Very Severe)","Real","3 (Mild)","Real","4 (Moderate)","Real","4 (Moderate)","Real","6 (Very Severe)","Not Real","4 (Moderate)","Real","6 (Very Severe)","Real","7 (Extremely Severe)","Real","4 (Moderate)","Real","2 (Very Mild)","Real","3 (Mild)","Real","Male","","25 - 35 years old","Yes","No","No","No","No","No"
"77","1980-01-01 00:00:00","6","en","1197104083","","Yes","No","Yes","No","No","More than 20 hours","No","No","No","Yes","No","No","Not involved (""just"" playing)","No","Yes, I strongly identify as a gamer.","","7 (Extremely Severe)","7 (Extremely Severe)","7 (Extremely Severe)","7 (Extremely Severe)","6 (Very Severe)","7 (Extremely Severe)","7 (Extremely Severe)","5 (Severe)","Neutral","Strongly agree","Disagree","Disagree","Agree","Always","Always","Rarely","Often","Always","Always","Rarely","Rarely","Strongly disagree","Neutral","Neutral","Agree","Disagree","Neutral","Strongly agree","","4 (Moderate)","Real","3 (Mild)","Real","5 (Severe)","Real","6 (Very Severe)","Not Real","5 (Severe)","Real","5 (Severe)","Not Real","5 (Severe)","Real","6 (Very Severe)","Real","5 (Severe)","Real","7 (Extremely Severe)","Real","7 (Extremely Severe)","Real","5 (Severe)","Real","4 (Moderate)","Real","4 (Moderate)","Real","Male","","18 - 25 years old","Yes","No","No","No","No","No"
"78","1980-01-01 00:00:00","6","en","819476414","","Yes","No","Yes","No","No","More than 20 hours","No","No","No","Yes","No","No","Not involved (""just"" playing)","No","Yes, I strongly identify as a gamer.","","7 (Extremely Severe)","7 (Extremely Severe)","5 (Severe)","6 (Very Severe)","5 (Severe)","5 (Severe)","6 (Very Severe)","7 (Extremely Severe)","Disagree","Disagree","Strongly disagree","Disagree","Strongly agree","Never","Never","Rarely","Rarely","Always","Always","Sometimes","Sometimes","Strongly disagree","Agree","Disagree","Agree","Disagree","Neutral","Strongly agree","","5 (Severe)","Real","","Real","5 (Severe)","Real","6 (Very Severe)","Real","6 (Very Severe)","Real","5 (Severe)","Real","5 (Severe)","Real","6 (Very Severe)","Real","5 (Severe)","Real","6 (Very Severe)","Real","7 (Extremely Severe)","Real","5 (Severe)","Real","5 (Severe)","Real","5 (Severe)","Real","Male","","18 - 25 years old","Yes","No","No","No","No","No"
"80","1980-01-01 00:00:00","6","en","767595426","","Yes","No","Yes","No","No","More than 20 hours","No","No","No","No","Yes","No","Not involved (""just"" playing)","No","Somewhat, I identify as a gamer in certain contexts.","","6 (Very Severe)","6 (Very Severe)","6 (Very Severe)","6 (Very Severe)","6 (Very Severe)","6 (Very Severe)","5 (Severe)","5 (Severe)","Disagree","Strongly agree","Strongly agree","Disagree","Neutral","Always","Always","Often","Often","Often","Often","Sometimes","Sometimes","Strongly disagree","Disagree","Strongly agree","Neutral","Agree","Agree","Neutral","","6 (Very Severe)","","6 (Very Severe)","","6 (Very Severe)","","4 (Moderate)","","3 (Mild)","","3 (Mild)","","6 (Very Severe)","","3 (Mild)","","5 (Severe)","","5 (Severe)","","5 (Severe)","","7 (Extremely Severe)","","6 (Very Severe)","","6 (Very Severe)","","Female","","18 - 25 years old","No","No","No","Yes","No","No"
"82","1980-01-01 00:00:00","6","en","1214696494","","Yes","No","Yes","No","No","10 to 20 hours","No","No","No","No","No","Yes","Passive Participant (Reading posts, Attending Events, ...)","No","Yes, I strongly identify as a gamer.","","3 (Mild)","1 (Not Severe at All)","2 (Very Mild)","1 (Not Severe at All)","2 (Very Mild)","1 (Not Severe at All)","3 (Mild)","1 (Not Severe at All)","Strongly agree","Strongly disagree","Strongly disagree","Neutral","Strongly disagree","Never","Sometimes","Often","Often","Often","Often","Rarely","Rarely","Agree","Neutral","Strongly disagree","Strongly agree","Strongly disagree","Strongly disagree","Agree","","1 (Not Severe at All)","Real","1 (Not Severe at All)","Real","1 (Not Severe at All)","Not Real","2 (Very Mild)","Real","4 (Moderate)","Real","1 (Not Severe at All)","Not Real","3 (Mild)","Real","4 (Moderate)","Not Real","3 (Mild)","Real","4 (Moderate)","Real","7 (Extremely Severe)","Real","4 (Moderate)","Real","2 (Very Mild)","Real","2 (Very Mild)","Real","Genderfluid","","25 - 35 years old","Yes","No","No","No","No","No"
"83","1980-01-01 00:00:00","6","en","1459177450","","Yes","No","Yes","No","No","10 to 20 hours","No","No","No","Yes","Yes","No","Passive Participant (Reading posts, Attending Events, ...)","No","Yes, I strongly identify as a gamer.","","3 (Mild)","2 (Very Mild)","5 (Severe)","5 (Severe)","4 (Moderate)","6 (Very Severe)","3 (Mild)","4 (Moderate)","Strongly agree","Neutral","Strongly disagree","Agree","Disagree","Always","Always","Often","Often","Often","Often","Sometimes","Sometimes","Disagree","Disagree","Neutral","Neutral","Strongly disagree","Neutral","Disagree","","1 (Not Severe at All)","","5 (Severe)","","2 (Very Mild)","","4 (Moderate)","","3 (Mild)","","","","2 (Very Mild)","","7 (Extremely Severe)","","4 (Moderate)","","7 (Extremely Severe)","","7 (Extremely Severe)","","4 (Moderate)","","1 (Not Severe at All)","","2 (Very Mild)","","Male","","18 - 25 years old","Yes","No","No","No","No","No"
"85","1980-01-01 00:00:00","6","en","1751644258","","Yes","No","Yes","Yes","No","Less than 5 hours","No","No","No","Yes","No","No","Not involved (""just"" playing)","No","No, I don't identify as a gamer, even though I play games.","","3 (Mild)","4 (Moderate)","6 (Very Severe)","6 (Very Severe)","4 (Moderate)","5 (Severe)","5 (Severe)","3 (Mild)","Disagree","Neutral","Neutral","Neutral","Disagree","Always","Always","Often","Often","Often","Often","Often","Often","Disagree","Agree","Neutral","Neutral","Disagree","Disagree","Agree","","3 (Mild)","","3 (Mild)","","4 (Moderate)","","5 (Severe)","","5 (Severe)","","","","5 (Severe)","","6 (Very Severe)","","4 (Moderate)","","7 (Extremely Severe)","","7 (Extremely Severe)","","3 (Mild)","","2 (Very Mild)","","3 (Mild)","","Male","","25 - 35 years old","Yes","No","No","No","No","No"
"87","1980-01-01 00:00:00","6","en","424510194","","Yes","No","Yes","No","No","More than 20 hours","Yes","No","No","Yes","No","No","Active Participant (Posting, Organizing Events, Moderating Communities, ...)","No","Yes, I strongly identify as a gamer.","","6 (Very Severe)","6 (Very Severe)","3 (Mild)","4 (Moderate)","5 (Severe)","4 (Moderate)","5 (Severe)","2 (Very Mild)","Strongly agree","Neutral","Disagree","Neutral","Agree","Often","Often","Never","Never","Always","Always","Never","Never","Disagree","Neutral","Disagree","Neutral","Strongly disagree","Agree","Disagree","","1 (Not Severe at All)","Real","4 (Moderate)","Real","3 (Mild)","Not Real","5 (Severe)","Real","4 (Moderate)","Not Real","3 (Mild)","Not Real","3 (Mild)","Real","5 (Severe)","Not Real","4 (Moderate)","Real","6 (Very Severe)","Real","7 (Extremely Severe)","Real","4 (Moderate)","Real","5 (Severe)","Real","4 (Moderate)","Real","Female","","18 - 25 years old","Yes","No","No","No","No","No"
"88","1980-01-01 00:00:00","6","en","481677615","","Yes","No","Yes","No","No","More than 20 hours","No","No","No","Yes","No","No","Passive Participant (Reading posts, Attending Events, ...)","No","Yes, I strongly identify as a gamer.","","3 (Mild)","2 (Very Mild)","3 (Mild)","4 (Moderate)","3 (Mild)","5 (Severe)","1 (Not Severe at All)","4 (Moderate)","Disagree","Strongly agree","Disagree","Disagree","Strongly agree","Always","Always","Rarely","Rarely","Rarely","Sometimes","Rarely","Rarely","Strongly disagree","Neutral","Disagree","Disagree","Strongly disagree","Agree","Disagree","","3 (Mild)","","5 (Severe)","","5 (Severe)","","5 (Severe)","","4 (Moderate)","","3 (Mild)","","5 (Severe)","","4 (Moderate)","","3 (Mild)","","6 (Very Severe)","","7 (Extremely Severe)","","3 (Mild)","","3 (Mild)","","3 (Mild)","","Male","","25 - 35 years old","Yes","No","No","No","No","No"
"89","1980-01-01 00:00:00","6","en","1203859350","","Yes","No","Yes","No","No","10 to 20 hours","No","No","No","Yes","No","No","Passive Participant (Reading posts, Attending Events, ...)","No","Somewhat, I identify as a gamer in certain contexts.","","6 (Very Severe)","7 (Extremely Severe)","6 (Very Severe)","7 (Extremely Severe)","6 (Very Severe)","7 (Extremely Severe)","7 (Extremely Severe)","5 (Severe)","Agree","Disagree","Disagree","Neutral","Disagree","Always","Always","Rarely","Rarely","Often","Often","Never","Never","Neutral","Neutral","Neutral","Neutral","Neutral","Agree","Disagree","","1 (Not Severe at All)","Real","3 (Mild)","Real","6 (Very Severe)","Real","6 (Very Severe)","Real","3 (Mild)","Not Real","3 (Mild)","Real","6 (Very Severe)","Real","5 (Severe)","Real","5 (Severe)","Real","7 (Extremely Severe)","Real","7 (Extremely Severe)","Real","6 (Very Severe)","Real","5 (Severe)","Real","5 (Severe)","Real","Male","","25 - 35 years old","Yes","No","No","No","No","No"
"90","1980-01-01 00:00:00","6","en","1868846785","","Yes","No","Yes","No","No","5 to 10 hours","No","Yes","No","No","No","No","Passive Participant (Reading posts, Attending Events, ...)","No","Somewhat, I identify as a gamer in certain contexts.","","2 (Very Mild)","1 (Not Severe at All)","3 (Mild)","4 (Moderate)","5 (Severe)","4 (Moderate)","1 (Not Severe at All)","2 (Very Mild)","Agree","Agree","Neutral","Disagree","Agree","Always","Always","Never","Never","Always","Always","Rarely","Never","Strongly disagree","Neutral","Agree","Strongly disagree","Agree","Agree","Neutral","","3 (Mild)","Real","4 (Moderate)","Real","5 (Severe)","Real","5 (Severe)","Real","5 (Severe)","Real","5 (Severe)","Real","6 (Very Severe)","Real","5 (Severe)","Real","3 (Mild)","Real","5 (Severe)","Real","6 (Very Severe)","Real","5 (Severe)","Real","6 (Very Severe)","Real","6 (Very Severe)","Real","Male","","25 - 35 years old","Yes","No","No","No","No","No"
"93","1980-01-01 00:00:00","6","en","1316845000","","Yes","No","Yes","No","No","10 to 20 hours","No","Yes","No","No","No","No","Active Participant (Posting, Organizing Events, Moderating Communities, ...)","No","Yes, I strongly identify as a gamer.","","6 (Very Severe)","6 (Very Severe)","4 (Moderate)","6 (Very Severe)","5 (Severe)","4 (Moderate)","7 (Extremely Severe)","4 (Moderate)","Agree","Agree","Disagree","Neutral","Agree","Always","Often","Never","Never","Often","Sometimes","Never","Never","Strongly disagree","Neutral","Agree","Disagree","Neutral","Agree","Disagree","","1 (Not Severe at All)","Not Real","2 (Very Mild)","Real","5 (Severe)","Real","5 (Severe)","Real","4 (Moderate)","Real","1 (Not Severe at All)","Not Real","3 (Mild)","Real","4 (Moderate)","Not Real","4 (Moderate)","Real","7 (Extremely Severe)","Real","7 (Extremely Severe)","Real","5 (Severe)","Real","4 (Moderate)","Real","4 (Moderate)","Real","Male","","25 - 35 years old","Yes","No","No","No","No","No"
"94","1980-01-01 00:00:00","6","en","1651915285","","Yes","Yes","No","No","No","","No","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7 (Extremely Severe)","Real","7 (Extremely Severe)","Real","7 (Extremely Severe)","Real","7 (Extremely Severe)","Real","7 (Extremely Severe)","Real","5 (Severe)","Real","7 (Extremely Severe)","Real","3 (Mild)","Real","7 (Extremely Severe)","Real","7 (Extremely Severe)","Real","7 (Extremely Severe)","Real","7 (Extremely Severe)","Real","7 (Extremely Severe)","Real","7 (Extremely Severe)","Real","Female","","25 - 35 years old","Yes","No","No","No","No","No"
"95","1980-01-01 00:00:00","6","en","33647902","","Yes","No","Yes","No","No","5 to 10 hours","No","No","No","Yes","No","No","Not involved (""just"" playing)","No","Yes, I strongly identify as a gamer.","","6 (Very Severe)","5 (Severe)","7 (Extremely Severe)","5 (Severe)","4 (Moderate)","5 (Severe)","6 (Very Severe)","6 (Very Severe)","Disagree","Agree","Disagree","Agree","Disagree","Always","Often","Always","Often","Always","Always","Always","Rarely","Strongly disagree","Neutral","Neutral","Agree","Disagree","Disagree","Agree","","3 (Mild)","Real","6 (Very Severe)","Real","5 (Severe)","Real","6 (Very Severe)","Real","5 (Severe)","Not Real","","","5 (Severe)","Real","7 (Extremely Severe)","Not Real","5 (Severe)","Not Real","7 (Extremely Severe)","Real","7 (Extremely Severe)","Real","6 (Very Severe)","Real","3 (Mild)","Real","6 (Very Severe)","","Male","","18 - 25 years old","Yes","No","No","No","No","No"
"96","1980-01-01 00:00:00","6","en","1767810105","","Yes","No","Yes","No","No","10 to 20 hours","No","No","No","No","No","Yes","Passive Participant (Reading posts, Attending Events, ...)","No","Somewhat, I identify as a gamer in certain contexts.","","7 (Extremely Severe)","5 (Severe)","5 (Severe)","6 (Very Severe)","4 (Moderate)","6 (Very Severe)","7 (Extremely Severe)","3 (Mild)","Neutral","Disagree","Strongly disagree","Agree","Strongly disagree","Never","Rarely","Often","Often","Always","Always","Rarely","Rarely","Disagree","Agree","Neutral","Neutral","Strongly disagree","Disagree","Agree","","1 (Not Severe at All)","Real","5 (Severe)","Real","7 (Extremely Severe)","Not Real","6 (Very Severe)","Real","5 (Severe)","Real","3 (Mild)","Real","3 (Mild)","Not Real","6 (Very Severe)","Not Real","4 (Moderate)","Real","7 (Extremely Severe)","Real","7 (Extremely Severe)","Real","4 (Moderate)","Real","4 (Moderate)","","6 (Very Severe)","Real","Male","","18 - 25 years old","Yes","No","No","No","No","No"
"98","1980-01-01 00:00:00","6","en","218712608","","Yes","No","Yes","No","No","Less than 5 hours","No","No","No","No","No","Yes","Not involved (""just"" playing)","No","Somewhat, I identify as a gamer in certain contexts.","","6 (Very Severe)","6 (Very Severe)","7 (Extremely Severe)","7 (Extremely Severe)","3 (Mild)","3 (Mild)","6 (Very Severe)","5 (Severe)","Agree","Neutral","Strongly disagree","Agree","Disagree","Often","Often","Rarely","Rarely","Often","Often","Never","Never","Strongly disagree","Agree","Neutral","Neutral","Disagree","Agree","Neutral","","1 (Not Severe at All)","Real","1 (Not Severe at All)","Real","5 (Severe)","Real","5 (Severe)","Real","2 (Very Mild)","Real","3 (Mild)","Not Real","4 (Moderate)","Real","5 (Severe)","Real","2 (Very Mild)","Real","6 (Very Severe)","Real","7 (Extremely Severe)","Real","4 (Moderate)","Real","2 (Very Mild)","Real","3 (Mild)","Real","Female","","25 - 35 years old","Yes","No","No","No","No","No"
"99","1980-01-01 00:00:00","6","en","1801191107","","Yes","No","Yes","No","No","More than 20 hours","Yes","No","No","No","No","No","Active Participant (Posting, Organizing Events, Moderating Communities, ...)","No","Yes, I strongly identify as a gamer.","","6 (Very Severe)","6 (Very Severe)","3 (Mild)","5 (Severe)","2 (Very Mild)","6 (Very Severe)","6 (Very Severe)","4 (Moderate)","Strongly agree","Neutral","Strongly disagree","Agree","Agree","Never","Rarely","Rarely","Rarely","Often","Often","Never","Never","Strongly disagree","Agree","Neutral","Neutral","Disagree","Neutral","Agree","","3 (Mild)","Real","3 (Mild)","Real","5 (Severe)","Real","5 (Severe)","Real","3 (Mild)","Real","6 (Very Severe)","Real","4 (Moderate)","Real","6 (Very Severe)","Not Real","4 (Moderate)","Real","5 (Severe)","Not Real","7 (Extremely Severe)","Real","4 (Moderate)","Real","5 (Severe)","Real","4 (Moderate)","Real","Male","","25 - 35 years old","Yes","No","No","No","No","No"
"101","1980-01-01 00:00:00","6","en","58294043","","Yes","No","Yes","No","No","Less than 5 hours","No","No","No","No","Yes","No","Not involved (""just"" playing)","No","Somewhat, I identify as a gamer in certain contexts.","","5 (Severe)","5 (Severe)","7 (Extremely Severe)","7 (Extremely Severe)","6 (Very Severe)","6 (Very Severe)","4 (Moderate)","7 (Extremely Severe)","Agree","Neutral","Agree","Neutral","Agree","Sometimes","Sometimes","Often","Rarely","Always","Rarely","Often","Rarely","Disagree","Neutral","Neutral","Neutral","Agree","Strongly disagree","Strongly agree","","3 (Mild)","Real","5 (Severe)","Real","5 (Severe)","Real","5 (Severe)","Real","3 (Mild)","Real","1 (Not Severe at All)","Not Real","6 (Very Severe)","Real","2 (Very Mild)","Not Real","1 (Not Severe at All)","Real","7 (Extremely Severe)","Real","7 (Extremely Severe)","Real","6 (Very Severe)","Real","3 (Mild)","Real","3 (Mild)","Real","Female","","18 - 25 years old","Yes","No","No","No","No","No"
"102","1980-01-01 00:00:00","6","en","1060556921","","Yes","No","No","Yes","No","10 to 20 hours","No","No","Yes","No","No","No","Active Participant (Posting, Organizing Events, Moderating Communities, ...)","Yes","Yes, I strongly identify as a gamer.","","1 (Not Severe at All)","1 (Not Severe at All)","1 (Not Severe at All)","1 (Not Severe at All)","1 (Not Severe at All)","1 (Not Severe at All)","1 (Not Severe at All)","1 (Not Severe at All)","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Never","Never","Never","Never","Never","Never","Never","Never","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No","No","No","No","No","No"
"104","1980-01-01 00:00:00","6","en","860088085","","Yes","No","Yes","No","No","5 to 10 hours","No","No","No","No","No","Yes","Passive Participant (Reading posts, Attending Events, ...)","Yes","No, I don't identify as a gamer, even though I play games.","","6 (Very Severe)","6 (Very Severe)","7 (Extremely Severe)","7 (Extremely Severe)","5 (Severe)","4 (Moderate)","7 (Extremely Severe)","6 (Very Severe)","Disagree","Strongly agree","Strongly disagree","Neutral","Strongly agree","Rarely","Often","Never","Never","Rarely","Never","Never","Never","Strongly disagree","Neutral","Agree","Disagree","Strongly disagree","Agree","Disagree","","1 (Not Severe at All)","Real","2 (Very Mild)","Real","5 (Severe)","Real","7 (Extremely Severe)","Real","4 (Moderate)","Real","2 (Very Mild)","Real","3 (Mild)","Real","4 (Moderate)","Not Real","6 (Very Severe)","Real","7 (Extremely Severe)","Real","7 (Extremely Severe)","Real","5 (Severe)","Real","5 (Severe)","Real","5 (Severe)","Real","Male","","18 - 25 years old","Yes","No","No","No","No","No"
"105","1980-01-01 00:00:00","6","en","691621153","","Yes","No","Yes","No","No","5 to 10 hours","No","No","No","No","No","Yes","Passive Participant (Reading posts, Attending Events, ...)","No","Yes, I strongly identify as a gamer.","","1 (Not Severe at All)","1 (Not Severe at All)","2 (Very Mild)","1 (Not Severe at All)","3 (Mild)","6 (Very Severe)","1 (Not Severe at All)","1 (Not Severe at All)","Agree","Neutral","Strongly disagree","Strongly agree","Disagree","Always","Always","Never","Never","Rarely","Rarely","Never","Never","Strongly disagree","Disagree","Neutral","Neutral","Strongly disagree","Strongly agree","Strongly disagree","","1 (Not Severe at All)","Real","3 (Mild)","Real","4 (Moderate)","Real","7 (Extremely Severe)","Real","5 (Severe)","Real","6 (Very Severe)","Not Real","6 (Very Severe)","Real","7 (Extremely Severe)","Not Real","7 (Extremely Severe)","Not Real","7 (Extremely Severe)","Real","7 (Extremely Severe)","Not Real","5 (Severe)","Real","5 (Severe)","Real","7 (Extremely Severe)","Real","Female","","25 - 35 years old","Yes","No","No","No","No","No"
"106","1980-01-01 00:00:00","6","en","659607114","","Yes","No","Yes","No","No","More than 20 hours","No","No","No","No","No","Yes","Passive Participant (Reading posts, Attending Events, ...)","No","Yes, I strongly identify as a gamer.","","2 (Very Mild)","1 (Not Severe at All)","3 (Mild)","2 (Very Mild)","2 (Very Mild)","5 (Severe)","3 (Mild)","3 (Mild)","Agree","Neutral","Disagree","Agree","Neutral","Never","Rarely","Often","Sometimes","Sometimes","Sometimes","Often","Often","Disagree","Neutral","Agree","Neutral","Disagree","Neutral","Disagree","","7 (Extremely Severe)","","5 (Severe)","","5 (Severe)","","7 (Extremely Severe)","","2 (Very Mild)","","4 (Moderate)","","4 (Moderate)","","4 (Moderate)","","3 (Mild)","","5 (Severe)","","6 (Very Severe)","","4 (Moderate)","","4 (Moderate)","","4 (Moderate)","","Female","","25 - 35 years old","Yes","No","No","No","No","No"
"107","1980-01-01 00:00:00","6","en","1393483191","","Yes","No","Yes","No","No","More than 20 hours","No","No","No","No","No","Yes","Not involved (""just"" playing)","No","Yes, I strongly identify as a gamer.","","3 (Mild)","3 (Mild)","4 (Moderate)","5 (Severe)","3 (Mild)","5 (Severe)","3 (Mild)","3 (Mild)","Neutral","Neutral","Neutral","Agree","Strongly agree","Never","Never","Never","Never","Rarely","Never","Never","Never","Strongly disagree","Agree","Agree","Neutral","Neutral","Agree","Neutral","","4 (Moderate)","Real","4 (Moderate)","","4 (Moderate)","","7 (Extremely Severe)","","5 (Severe)","","","","5 (Severe)","","","","6 (Very Severe)","","7 (Extremely Severe)","","7 (Extremely Severe)","","","","4 (Moderate)","","5 (Severe)","","Female","","25 - 35 years old","Yes","No","No","No","No","No"
"108","1980-01-01 00:00:00","6","en","253841404","","Yes","No","Yes","Yes","No","More than 20 hours","No","No","No","No","No","Yes","Passive Participant (Reading posts, Attending Events, ...)","No","Yes, I strongly identify as a gamer.","","7 (Extremely Severe)","4 (Moderate)","6 (Very Severe)","7 (Extremely Severe)","6 (Very Severe)","7 (Extremely Severe)","7 (Extremely Severe)","5 (Severe)","Agree","Neutral","Strongly disagree","Neutral","Strongly disagree","Rarely","Often","Never","Never","Always","Often","Never","Never","Neutral","Agree","Agree","Disagree","Strongly agree","Neutral","Neutral","","1 (Not Severe at All)","Real","2 (Very Mild)","Real","7 (Extremely Severe)","Real","6 (Very Severe)","Real","3 (Mild)","Real","4 (Moderate)","Real","3 (Mild)","Real","4 (Moderate)","Real","7 (Extremely Severe)","Real","7 (Extremely Severe)","Real","7 (Extremely Severe)","Real","4 (Moderate)","Real","4 (Moderate)","Real","1 (Not Severe at All)","Real","Female","","25 - 35 years old","Yes","No","No","No","No","No"
"109","1980-01-01 00:00:00","6","en","1595891088","","Yes","No","Yes","No","No","More than 20 hours","No","No","No","No","No","Yes","Passive Participant (Reading posts, Attending Events, ...)","No","Yes, I strongly identify as a gamer.","","6 (Very Severe)","5 (Severe)","5 (Severe)","7 (Extremely Severe)","4 (Moderate)","6 (Very Severe)","7 (Extremely Severe)","4 (Moderate)","Neutral","Disagree","Strongly disagree","Disagree","Strongly agree","Sometimes","Sometimes","Often","Rarely","Often","Often","Rarely","Rarely","Neutral","Disagree","Agree","Neutral","Disagree","Disagree","Strongly agree","","1 (Not Severe at All)","Not Real","3 (Mild)","Real","6 (Very Severe)","Not Real","4 (Moderate)","Real","4 (Moderate)","Real","3 (Mild)","Not Real","5 (Severe)","Not Real","7 (Extremely Severe)","Not Real","3 (Mild)","Real","7 (Extremely Severe)","Not Real","6 (Very Severe)","Real","4 (Moderate)","Real","4 (Moderate)","Not Real","4 (Moderate)","Real","Male","","25 - 35 years old","Yes","No","No","No","No","No"
"110","1980-01-01 00:00:00","6","en","1388311769","","Yes","No","Yes","Yes","No","More than 20 hours","No","No","No","Yes","No","No","Active Participant (Posting, Organizing Events, Moderating Communities, ...)","No","Yes, I strongly identify as a gamer.","","7 (Extremely Severe)","6 (Very Severe)","7 (Extremely Severe)","7 (Extremely Severe)","5 (Severe)","5 (Severe)","7 (Extremely Severe)","3 (Mild)","Strongly agree","Neutral","Neutral","Agree","Strongly agree","Often","Often","Sometimes","Sometimes","Often","Often","Rarely","Never","Strongly disagree","Agree","Neutral","Neutral","Disagree","Disagree","Neutral","","3 (Mild)","Real","3 (Mild)","Real","","Real","3 (Mild)","Real","","Real","","Not Real","4 (Moderate)","Real","6 (Very Severe)","Not Real","7 (Extremely Severe)","Real","7 (Extremely Severe)","Not Real","","Real","4 (Moderate)","Real","7 (Extremely Severe)","Real","","Real","Male","","25 - 35 years old","Yes","Yes","No","Yes","No","No"
